seg_id,code_v6,v6_evidence,v6_confidence,v6_flag
V9-01337,CASH.relation,model of CBDC as the equivalent of cash,0.93,
V9-01342,SYS.design,centralized model of the e-hryvnia issuance was chosen as a simpler and more comprehensible,0.9,
V9-01343,ACCESS.universal,"increase the level of financial inclusion, reduce the share of cash transactions",0.88,
V9-01344,INTEROP.domestic,convertible into cash or cashless money without limitations at the rate of 1:1,0.95,
V9-01356,INTEROP.domestic,"introduction of ""instant"" payments, which will allow significant increase of their conduct speed",0.72,
V9-01371,ADOPT.experience,cost of accepting e-hryvnia for traders as payment for goods and services,0.88,
V9-01376,STAB.disintermediation,macroeconomic effect of e-hryvnia issuance by the NBU,0.65,
V9-01377,SYS.design,design a business model that would be beneficial for all members of the e-hryvnia ecosystem,0.72,
V9-01378,SYS.design,full-scale implementation of the domestic digital currency foresees no uncontrollable issuance of hryvnia,0.78,
V9-01379,STAB.disintermediation,NBU will store any liquidity transferred from the banking system,0.85,
V9-01381,INTEROP.domestic,exchanged without limitation for cash or cashless funds in the ratio of 1:1,0.95,
V9-01388,SYS.design,enhance the Platform's infrastructure and performance by involving additional nodes,0.82,
V9-01389,ADOPT.experience,"simple, trustful, convenient system for adding and storing user personal data",0.8,
V9-01405,SYS.design,two alternative models of interaction: the centralized and the decentralized models,0.92,
V9-01409,SYS.design,NBU will perform non-typical duties of working with individuals including the dispute resolution,0.83,evidence_not_verbatim
V9-01412,SYS.design,"registration, network connection, customer software installation, as well as secure storage and administration of accounts",0.8,
V9-01416,SYS.design,implementation of e-hryvnia is impossible without major investment in upgrading the payment infrastructure,0.78,
V9-01425,CASH.relation,e-hryvnia should be considered solely as the third form of the hryvnia,0.9,
V9-01427,SYS.design,Platform processes all transactions in real time 24 hours,0.72,
V9-01432,OPS.resilience,backups and secure storage of keys to e-wallets,0.88,
V9-01434,OPS.resilience,storage of personal keys of Platform participants,0.78,
V9-01441,CASH.relation,fully interchangeable with cash and bank deposits at par value,0.85,
V9-01442,SYS.design,classified under monetary aggregate M0,0.92,
V9-01445,SYS.design,"liquidity is with households, the banking system, and the NBU",0.75,
V9-01449,SYS.design,e-hryvnia (centralized issuance model) is fiat currency,0.88,
V9-01452,INTEROP.domestic,enabling instant settlements and widespread accessibility with the security,0.72,
V9-01455,CASH.relation,"fully fungible with other forms of the Dirham (cash, deposits)",0.91,
V9-01456,INTEROP.domestic,enhance the efficiency of the local payment system,0.74,
V9-01457,INTEROP.crossborder,"immediate settlement of retail, wholesale, and cross-border payments",0.82,
V9-01474,INTEROP.crossborder,pain points of domestic and cross-border payments,0.78,
V9-01475,INTEROP.crossborder,reducing cost and increasing access to international markets,0.8,
V9-01476,INTEROP.crossborder,"assess the benefits and risks of Project mBridge, explore alternative bilateral",0.96,
V9-01477,INTEROP.crossborder,used for cross-border settlement and payment-versus-payment,0.97,
V9-01478,INTEROP.crossborder,exploring developing other cross-border CBDC arrangements,0.82,
V9-01481,INTEROP.crossborder,first cross-border CBDC payment on the mBridge minimum viable product,0.97,
V9-01486,STAB.disintermediation,financial stability and economic impact assessments,0.52,
V9-01490,SYS.design,issuance of the Digital Dirham is expected to take place,0.72,
V9-01491,ADOPT.experience,wallet is designed for ease of use and management,0.85,
V9-01523,INTEROP.domestic,settlement of transactions occurring in pilot CBDC,0.78,
V9-01527,INTEROP.domestic,Reduced settlement risk • Less reconciliation,0.82,
V9-01532,SYS.design,client funds are held against an individual investor's CHESS account,0.71,
V9-01562,SYS.design,pilot CBDC was structured as a real legal claim on the RBA,0.88,
V9-01574,INTEROP.domestic,HTLC mechanism to facilitate peer-to-peer settlement,0.76,
V9-01577,SYS.design,three different structures for holding pilot CBDC,0.85,
V9-01582,ACCESS.universal,"inclusion of individuals in the digital economy, notably for those who are underbanked",0.93,
V9-01593,SYS.design,challenges in integrating a CBDC platform with industry use case applications,0.82,
V9-01594,OPS.resilience,"performance, scalability, and security – could also be considered",0.8,
V9-01595,OTHER.keep,any decision on a CBDC in Australia is likely to be some years away,0.85,
V9-01598,SYS.design,keeps risks associated with industry use cases separate from the CBDC ledger,0.82,
V9-01610,STAB.disintermediation,risk-free backing in central bank money of private stablecoins,0.75,
V9-01614,INTEROP.domestic,risk-free settlement asset could create efficiency in a tokenised biodiversity credit market,0.72,
V9-01621,SYS.design,pilot CBDC will be required to be redeemed,0.78,
V9-01622,OTHER.keep,not yet a compelling case for issuance of a 'retail' CBDC,0.72,
V9-01625,OTHER.keep,privately issued stablecoins could play a role in the future,0.7,
V9-01626,INTEROP.domestic,improving efficiency of the corporate bond market by allowing equal access,0.74,evidence_not_verbatim
V9-01630,INTEROP.domestic,"fast settlement with member allocation data, reducing counterparty risk",0.76,
V9-01633,SYS.design,minimally prescriptive - both in the kind of CBDC model assumed,0.8,
V9-01636,SYS.design,"DFCRC will implement the pilot CBDC platform, with the RBA responsible for issuance and redemption",0.88,
V9-01637,SYS.design,stand-alone platform solely for the issuance and transactional operation,0.9,
V9-01641,SYS.design,"Mint, issue, redeem and burn eAUD; Authorise roles in ecosystem",0.92,
V9-01653,CASH.relation,"wholesale CBDC to act as a complement to, rather than a substitute for",0.78,
V9-01657,INTEROP.domestic,"based on the RTGS system technology, connectivity and functionality as it exists today",0.85,
V9-01665,INTEROP.domestic,settlement model uses central bank money for settlement where appropriate,0.83,
V9-01666,INTEROP.domestic,maintain at par convertibility of different forms of money,0.95,
V9-01668,SYS.design,settlement model could affect the implementation of monetary policy,0.72,
V9-01685,SYS.design,standalone CBDC platform controlled by the RBA was utilised,0.8,
V9-01687,INTEROP.domestic,stablecoins could play a role as a DvP settlement asset,0.78,
V9-01690,INTEROP.domestic,access to ESAs for interchange may be via an integration with the FSS,0.9,
V9-01691,SYS.design,exchanged directly on the tokenised asset platform via a decentralised exchange,0.82,
V9-01693,SYS.design,central bank's role from operator of a centralised infrastructure to issuer,0.88,
V9-01695,STAB.disintermediation,Fragments commercial banks' liquidity in central bank money,0.91,
V9-01697,INTEROP.domestic,absence of settlement in central bank money,0.8,
V9-01698,INTEROP.domestic,undermine 'singleness of money' as a purely market-based interchange mechanism,0.93,
V9-01699,STAB.disintermediation,fragment commercial banks' liquidity in central bank money to a lesser extent,0.85,
V9-01701,CASH.relation,designed to conform as much as possible to a familiar environment and mimic bank notes,0.92,
V9-01703,OTHER.keep,improving financial stability might provide a motivation for the issuance of CBDC,0.6,evidence_not_verbatim
V9-01705,CASH.relation,benchmark CBDC complements—and does not replace—cash,0.96,
V9-01706,SYS.design,benchmark CBDC is denominated in the sovereign currency,0.82,
V9-01707,INTEROP.domestic,"exchange reserves, bank notes and CBDC at par",0.95,
V9-01746,INTEROP.domestic,atomic and final DVP settlement transaction for each position,0.87,
V9-01747,INTEROP.domestic,"extend credit on-ledger to CDS members, who then can use this for settlement",0.85,
V9-01756,INTEROP.domestic,cost of creating an integrated as opposed to an interfaced settlement vs. payment infrastructure,0.82,
V9-01790,INTEROP.domestic,not integrated with any external systems including collateral management capabilities,0.8,evidence_not_verbatim
V9-01805,SYS.design,redeeming is the only process that must be manually approved,0.85,
V9-01814,INTEROP.domestic,economize on the use of costly DDR in the exchange of value,0.83,
V9-01816,SYS.design,Bank of Canada assumes the role of issuer of DDR,0.92,
V9-01817,SYS.design,digital wallet application is introduced in the form of a user interface,0.88,
V9-01831,INTEROP.domestic,liquidity-saving mechanism (LSM) that supported netting of payments,0.87,
V9-01838,SYS.design,design decouples the business rules from the movement of funds,0.88,
V9-01839,SYS.design,Fractional DDR balances may be divisible to two decimal places,0.87,
V9-01848,OPS.resilience,Keys are often managed through a central service that is separate,0.78,
V9-01849,SYS.design,UTXO design of contracts for portability to Corda,0.9,
V9-01853,SYS.design,pledge CAD in exchange for DDR in its wallet,0.88,
V9-01854,SYS.design,initial state of PENDING and can only be changed once,0.82,
V9-01855,OPS.resilience,"key aspects of the PFMIs concerning collateral, credit risk, money settlements and liquidity risk",0.62,
V9-01856,OPS.resilience,"do not fully meet the PFMIs concerning settlement finality, operational risk",0.72,
V9-01857,INTEROP.domestic,Transfers of DDR are transfers of a claim on central bank money,0.75,
V9-01858,INTEROP.domestic,executes payments on a net basis subject to amounts of liquidity provided,0.74,
V9-01865,CASH.relation,e-CNY is China's legal tender. Backed by sovereign credit,0.91,
V9-01866,SYS.design,centralized management model and a two-tier operational system,0.92,
V9-01868,CASH.relation,"substitute for cash in circulation (M0), and will coexist with physical RMB",0.96,
V9-01873,ACCESS.universal,issuance aims at enhancing financial inclusion,0.78,
V9-01875,INTEROP.crossborder,"technically ready for cross-border use, e-CNY is still designed mainly for domestic",0.85,
V9-01879,SYS.design,hardware wallet uses security chips and other technologies to enable the functions,0.8,
V9-01882,CASH.relation,"PBOC will neither stop supplying it, nor replace it via administrative order",0.93,
V9-01883,ADOPT.experience,"fully meet the public's daily payment needs, further improve the efficiency of the retail payment system",0.78,
V9-01884,INTEROP.domestic,e-CNY and funds in the electronic account of authorized operators are inter-operable,0.9,
V9-01885,CASH.relation,new form of RMB that meets the public's demand for cash,0.85,
V9-01886,ADOPT.experience,"bolster China's digital economy, enhance financial inclusion",0.45,
V9-01887,CASH.relation,diversify the forms of cash provided to the public,0.62,
V9-01893,INTEROP.domestic,topped up with physical Lilangeni or bank deposits,0.72,
V9-01895,CASH.relation,convertibility to physical Lilangeni at any time,0.88,
V9-01898,CASH.relation,acceptance of the Digital Dirham as a universal payment instrument (legal tender),0.82,
V9-01903,INTEROP.domestic,real-time gross settlement (RTGS) model and avoid reliance on a central bank commitment to settle,0.85,
V9-01904,INTEROP.domestic,no intraday credit facility envisaged in the Jasper framework. All value exchange over the platform is prefunded,0.8,
V9-01907,SYS.design,"exchange and circulation management, interoperability and wallet ecosystem",0.72,
V9-01917,ACCESS.universal,limited technological literacy and telecommunications coverage are minimized,0.88,
V9-01918,INTEROP.domestic,supports interoperability with traditional electronic payment systems. It makes full use of existing financial infrastructures,0.92,
V9-01921,SYS.design,Authorized operators may select their own technology roadmaps based on their actual demands,0.75,
V9-01948,ADOPT.experience,foster innovative business models that can increase financial market efficiency,0.6,
V9-01949,ADOPT.experience,"Use in retail, alongside bank accounts, payment accounts, cards and cash",0.78,
V9-01950,INTEROP.domestic,seamless integration to currently available payment systems,0.88,
V9-01956,SYS.design,digital Brazilian real as a hybrid CBDC,0.82,
V9-01957,INTEROP.domestic,"connect conventional sources of liquidity, provided by authorised agents, to digital asset ecosystems",0.72,
V9-01967,CASH.relation,CBDC should be complementary to cash. It should be designed as a good means of payment,0.92,
V9-01969,INTEROP.domestic,supports interoperability with traditional electronic payment systems,0.95,
V9-01972,CASH.relation,create a digital version of the renminbi that meets the public's demand for cash,0.88,
V9-01973,SYS.design,support the development of retail payment infrastructures and improve payment system efficiency,0.72,
V9-01974,ADOPT.experience,allow businesses and related parties to improve their cash flow while enjoying more convenient payment services,0.82,
V9-01976,OPS.resilience,provide a backup or redundancy to the retail system backed by commercial bank deposits,0.85,
V9-01977,ACCESS.universal,"make financial services more accessible, providing fiat money for a large population",0.92,
V9-01978,INTEROP.crossborder,"technically ready for cross-border use, e-CNY is still designed mainly for domestic retail payments",0.9,
V9-01979,INTEROP.crossborder,explore the applicability of CBDC in cross-border scenarios,0.95,
V9-01989,ACCESS.universal,e-CNY is a public good that improves financial inclusion,0.93,
V9-01991,ADOPT.experience,operators do not charge individual users for the exchange services either,0.85,
V9-01992,INTEROP.domestic,"break down barriers – institutional and platform alike – in the payment market, enabling payments in all use cases",0.8,
V9-02004,CASH.relation,more important to concentrate on maintaining the role of cash,0.92,
V9-02008,INTEROP.crossborder,"support cross-border interoperability, there is a dedicated structure in the proposed architecture",0.96,
V9-02017,SYS.design,every rCBDC distributed in the retail system is backed by wCBDC,0.88,
V9-02020,OPS.resilience,"prevent the problem of double-spending, ie spending the same rCBDC more than once",0.82,
V9-02094,ADOPT.experience,"private sector may innovate to promote a more efficient, inclusive and vibrant payments landscape",0.72,
V9-02117,INTEROP.domestic,funding a participant's wallet begins with the participant pledging Canadian dollars,0.91,
V9-02124,INTEROP.domestic,separated into settlement and non-settlement processes. The settlement process is governed,0.87,
V9-02143,OTHER.keep,digital rouble will not affect the way the central bank implements monetary policy,0.8,
V9-02150,ACCESS.universal,critical issues that CBDC issuance should address in order to be accepted by unbanked people,0.95,
V9-02162,CASH.relation,support cash in playing its important role as a legal tender and a main means of payment,0.93,
V9-02172,OPS.resilience,digital rouble transactions are carried out only upon a client's authorisation,0.78,
V9-02179,SYS.design,it would be a direct claim on MAS,0.85,
V9-02191,SYS.design,third form of money issued by the central bank and will be the central bank's liability,0.9,
V9-02193,ADOPT.experience,charged under unified rules throughout the country and the cost will be minimal,0.84,
V9-02194,ACCESS.universal,enhancing financial inclusion. The chosen model provides for maximum accessibility of the digital rouble,0.93,
V9-02196,SYS.design,two-tier retail model has been selected as the target model for the digital rouble,0.95,
V9-02197,SYS.design,"launches, maintains and develops the digital rouble platform; connects credit institutions",0.93,
V9-02201,INTEROP.domestic,lack of interoperability between existing closed loop digital payment systems,0.72,
V9-02202,SYS.design,represents a liability on the SARB's balance sheet,0.88,
V9-02203,SYS.design,foundation for Thailand's future financial infrastructure,0.72,
V9-02206,INTEROP.crossborder,"FX price discovery in the corridor network, enabling on-demand FX conversion",0.97,
V9-02207,SYS.design,enhancing the efficiency of fiat money,0.65,
V9-02215,CASH.relation,not aiming to replace cash but to complement it,0.99,
V9-02220,STAB.disintermediation,must not result in adverse effects on monetary policy or overall financial stability,0.78,
V9-02221,ACCESS.universal,accessible by all segments of the Thai population,0.97,
V9-02227,INTEROP.domestic,envisages an interoperable system domestically,0.97,
V9-02229,INTEROP.crossborder,participation in the mBridge project,0.99,
V9-02253,SYS.design,recording and payment in wholesale CBDC of the corresponding coupons,0.85,
V9-02263,SYS.design,open standard that can also be leveraged by pan-European schemes,0.78,
V9-02266,CASH.relation,digital euro would complement cash by providing a digital payment option,0.97,
V9-02277,ADOPT.experience,efficient way to settle payments instantly,0.82,
V9-02278,ADOPT.experience,"fees merchants pay are fair, given its status as legal tender",0.8,
V9-02284,INTEROP.domestic,dovetail with the existing payment landscape of Ghana,0.82,
V9-02296,STAB.disintermediation,preserving the existing financial service landscape in view of the critical role of banks,0.78,
V9-02297,INTEROP.domestic,existing universal QR-codes to be integrated into the eCedi ecosystem,0.88,
V9-02300,ADOPT.experience,consumer receives a payment card to access his wallet online,0.82,
V9-02302,INTEROP.domestic,legal tender and convertible to Ghana Cedi in the form of cash or deposit money in the 1:1 ratio,0.85,
V9-02306,CASH.relation,cash-mimic characteristic of the eCedi is its convertibility into the deposit money,0.87,
V9-02307,ADOPT.experience,eCedi transactions will be free of charge to the consumers,0.85,
V9-02309,INTEROP.domestic,interoperability with existing infrastructures in mind while enabling innovative functionalities,0.88,
V9-02310,INTEROP.domestic,interoperability between the eCedi and GhiPSS would enable settlements between different mobile money solutions,0.92,
V9-02313,OPS.resilience,"designed to be able to recover from operational disruption, such as failures in its hardware or software",0.92,
V9-02314,OPS.resilience,Payments with the eCedi will be provided 24/7 with no scheduled downtime,0.93,
V9-02315,INTEROP.domestic,functionally compatible with the existing payment instruments and will support instant payments,0.88,
V9-02321,OPS.resilience,separation of the issuance and distribution modules of the core infrastructure,0.83,
V9-02324,ACCESS.universal,"inclusive and universally appealing digital currency that would be a catalyst for financial inclusion, accessible everywhere and by all",0.95,
V9-02327,CASH.relation,serve as a digital complement to cash and enhance the overall efficiency of payments,0.87,
V9-02337,ADOPT.experience,"affordability, user-friendliness, safety and service availability were of prime importance",0.82,
V9-02338,OPS.resilience,more efficient and resilient payment system,0.72,
V9-02339,OTHER.keep,emerging risk of unregulated private 'currencies' or virtual assets,0.78,
V9-02340,OTHER.keep,Strengthen the monetary policy transmission channel,0.85,
V9-02342,ADOPT.experience,Reduce the cost of payments and payment service delivery,0.8,
V9-02350,ADOPT.experience,eCedi should be free for the user,0.85,
V9-02354,CASH.relation,reduce reliance on cash for transactions,0.82,
V9-02355,ACCESS.universal,focus on inclusive access and seamless integration in the design,0.8,
V9-02372,SYS.design,"guided by three key principles, namely: safety, efficiency, and openness",0.78,
V9-02377,SYS.design,"flexible, and preferably reconfigurable, technology architecture that supports multiple instantiations",0.88,
V9-02383,SYS.design,illustrative technology architecture of rCBDC designed to enable households and businesses,0.83,
V9-02385,OPS.resilience,cyber attacks from the retail user system will not be cascaded,0.9,
V9-02406,OPS.resilience,guard against the possibility of over-issuance and double spending,0.85,
V9-02407,SYS.design,prevent an intermediary from over-withdrawing CBDC as CBDC moves from the wholesale layer,0.8,
V9-02413,SYS.design,Payer_ID and Payee_ID include the public key of payer/payee,0.85,
V9-02417,SYS.design,validator registers the rCBDC transaction as newly created in its UTXO database,0.88,
V9-02419,INTEROP.domestic,deposits CBDC to an omnibus account in the wholesale system in order to withdraw an equivalent amount,0.85,
V9-02420,INTEROP.domestic,CBDC is moved from the wholesale system to the retail system,0.87,
V9-02426,OPS.resilience,isolate the CBDC issuance process from the wholesale system to improve cybersecurity,0.9,
V9-02433,SYS.design,only the central bank can create and destruct CBDC,0.91,
V9-02439,SYS.design,support the issuance and settlement of different asset embodiments,0.85,
V9-02442,INTEROP.crossborder,support interoperability with other countries' CBDC payment systems,0.96,
V9-02443,ADOPT.experience,allow private sector innovators to build additional services on top of the CBDC platform,0.8,
V9-02481,ADOPT.experience,user needs to have a mobile wallet app in order to access the retail system,0.88,
V9-02492,INTEROP.crossborder,support overseas users or wallets through a dedicated server gateway as a bridge,0.87,
V9-02498,INTEROP.domestic,e-HKD should be fully interoperable with other payment systems,0.88,evidence_not_verbatim
V9-02501,SYS.design,using CBDC as the on- and off-ramp instrument for DeFi,0.78,
V9-02503,INTEROP.domestic,rCBDC should support interoperability with a wide range of payment means,0.87,
V9-02509,CASH.relation,"issuance of a digital form of fiat currency, with legal tender status",0.85,
V9-02514,SYS.design,e-HKD is a central bank liability instead of a commercial bank liability,0.92,evidence_not_verbatim
V9-02515,SYS.design,CBDC issuance is restricted to the wholesale system only,0.92,
V9-02516,OPS.resilience,minimise the attack surface,0.91,
V9-02517,OPS.resilience,processes of CBDC issuance and the validator could be placed on separate machines,0.82,
V9-02523,INTEROP.domestic,does not compromise interoperability,0.78,
V9-02524,INTEROP.domestic,e-HKD should be interoperable with other payment systems,0.88,
V9-02525,OTHER.keep,continue to consider and explore different options in search of viable solutions,0.72,
V9-02534,INTEROP.crossborder,cross-border/interoperability issues in view as it develops the framework,0.93,
V9-02542,SYS.design,choice between retail CBDC which will affect general public and wholesale CBDC for selected entities,0.88,evidence_not_verbatim
V9-02543,INTEROP.domestic,"interconnectivity, interoperability, and integration (3i) aspects with existing payment systems",0.85,
V9-02544,INTEROP.domestic,use of Digital Rupiah as the settlement asset for monetary operations or for money market,0.83,
V9-02547,SYS.design,"central bank money offering superior qualities i.e., stable, safe, and efficient",0.74,
V9-02548,SYS.design,Digital Rupiah exists as an anchor for payment instruments in digital era,0.8,
V9-02549,SYS.design,"integrated end-to-end configuration, from w-Digital Rupiah to r-Digital Rupiah",0.9,
V9-02550,SYS.design,design will be directed to accommodate resilient features that enable development of new innovative,0.75,
V9-02552,SYS.design,selection of CBDC architecture: choosing between wholesale CBDC (w-CBDC) or retail CBDC (r-CBDC),0.92,
V9-02555,INTEROP.domestic,develop interlinkage with the existing FMIs,0.82,
V9-02556,CASH.relation,complement banknotes and coins,0.92,
V9-02557,SYS.design,select suitable technology platform which can support Digital Rupiah's issuance and distribution,0.8,
V9-02558,SYS.design,"fulfill its functions as a medium of exchange, store of value, and unit of account",0.75,
V9-02559,STAB.disintermediation,complies with 'do no harm' principle to monetary and financial system stability,0.78,
V9-02561,INTEROP.crossborder,cross-border CBDC interoperability initiatives,0.95,
V9-02562,SYS.design,"design that in line with Bank Indonesia's tasks in monetary, macroprudential, and payment systems sectors",0.72,
V9-02563,ACCESS.universal,"features that support end-to-end innovations, financial inclusion, and efficiency",0.74,
V9-02564,SYS.design,five main elements: (i) issuance; (ii) distribution and recording of transactions; (iii) access; (iv) use cases and interlinkage; and (v) infrastructure,0.9,
V9-02565,SYS.design,issued in two forms: wholesale Digital Rupiah (w-Digital Rupiah) and retail Digital Rupiah,0.91,
V9-02566,SYS.design,"direct claim of its holder to Bank Indonesia, with comparable issuance mechanism",0.85,
V9-02567,CASH.relation,"complementary to banknotes, coins, and third-party reserves at Bank Indonesia",0.88,
V9-02569,STAB.disintermediation,alter the composition of Bank Indonesia's monetary liabilities without changing the size of Bank Indonesia's balance sheet,0.87,
V9-02576,INTEROP.domestic,digital securities to allow for more efficient transaction processing time under Delivery-versus-Payment (DvP) model,0.78,
V9-02577,INTEROP.domestic,Interconnection between different platforms would utilize application programming interface (API),0.82,
V9-02579,INTEROP.domestic,exchange information and perform transactions with existing and future traditional infrastructures,0.92,
V9-02580,SYS.design,"meet technical, semantic, and business/legal standards in accordance with technological developments",0.72,
V9-02581,INTEROP.domestic,"integrated process between Digital Rupiah platform and existing FMIs, including payment systems",0.91,
V9-02584,SYS.design,"single point of contact to ensure the security, completeness, validity, and accuracy of Digital Rupiah supply",0.85,
V9-02585,INTEROP.domestic,transferring funds from participants' reserves to Digital Rupiah technical account in BI-RTGS,0.93,
V9-02591,SYS.design,hybrid recording model that enables Bank Indonesia to maintain control over the end-to-end management,0.88,
V9-02592,INTEROP.domestic,Digital Rupiah will be the settlement asset for various types of transactions,0.87,
V9-02593,SYS.design,"two digital assets, Digital Rupiah and digital securities, built on a single platform",0.88,
V9-02594,INTEROP.domestic,"DvP use case, for example, this enables atomic settlement, which is more efficient",0.84,
V9-02595,SYS.design,use cases developed by Bank Indonesia and external parties,0.78,
V9-02596,INTEROP.domestic,3i connectivity bridge will be established to link Digital Rupiah platform with other FMIs,0.93,
V9-02597,INTEROP.domestic,W-Digital Rupiah is directed to serve as the settlement asset for financial markets transactions,0.9,
V9-02598,ADOPT.experience,R-Digital Rupiah is used to facilitate retail use cases related to personal/individual and business,0.82,
V9-02599,OPS.resilience,"minimize operational exposure, including cyber-attacks, against financial system stability",0.87,
V9-02602,SYS.design,Bank Indonesia will also sequentially develop r-Digital Rupiah platform,0.8,
V9-02606,INTEROP.crossborder,allow it to be exchangeable with foreign CBDC,0.99,
V9-02608,ADOPT.experience,use of Digital Rupiah in the Web 3.0 ecosystem,0.72,
V9-02609,OPS.resilience,"safe, reliable, and resilient Digital Rupiah technology design",0.91,
V9-02613,SYS.design,recognized as a component of base money (M0),0.88,
V9-02618,INTEROP.domestic,settlement asset for monetary operation and financial market transactions complementing the existing reserves,0.9,
V9-02620,INTEROP.domestic,"streamline the DvP process, reducing settlement and liquidity risks",0.87,
V9-02622,INTEROP.crossborder,align Digital Rupiah design with cross-border interoperability features,0.98,
V9-02623,INTEROP.crossborder,cooperation with global central bank communities and international organizations,0.75,
V9-02624,INTEROP.crossborder,"collaborate with international organizations, among others include, the IMF, the BIS",0.76,
V9-02625,ADOPT.experience,"develop use cases for distribution and collection, as well as peer-to-peer transfers",0.82,
V9-02628,SYS.design,"issuance of digital securities by parties outside central bank, including their inclusion as collateral",0.83,
V9-02630,INTEROP.domestic,interconnection of w-Digital Rupiah and r-Digital Rupiah platforms with other FMIs,0.93,
V9-02633,INTEROP.domestic,option to convert their r-Digital Rupiah to bank deposit,0.91,
V9-02635,STAB.disintermediation,"minimum capital requirements, systemic capital surcharge, to the establishment of a more prudent liquidity cushion",0.85,
V9-02638,OTHER.keep,"divided into three stages, arranged based on the four criteria of feasibility",0.8,
V9-02639,SYS.design,"issuance, redemption, and transfer of funds use cases",0.82,
V9-02640,INTEROP.domestic,"integrated, interconnected, and interoperable (3i) with the existing BI-RTGS",0.97,
V9-02642,INTEROP.domestic,"DvP for interbank money market, monetary operations, and CCP fund settlements",0.91,
V9-02645,SYS.design,"wholesale Digital Rupiah (w-Digital Rupiah) cash ledger (issuance, redemption",0.83,
V9-02646,SYS.design,expand the w-Digital Rupiah use cases to include broader types of financial market,0.75,
V9-02652,INTEROP.domestic,W-Digital Rupiah is used as the settlement asset for financial transactions,0.93,
V9-02654,INTEROP.domestic,convert w-Digital Rupiah into their reserve account at Bank Indonesia,0.9,
V9-02655,SYS.design,"KDR will act as the single-entry point in ensuring security, completeness, validity",0.85,
V9-02658,SYS.design,Conversion from a participant's current account balance to Digital Rupiah could occur 24/7,0.8,
V9-02659,INTEROP.domestic,Payments in w-Digital Rupiah will be settled in real-time,0.88,
V9-02662,OPS.resilience,cold wallets would be optional. Participants could leverage cold wallets for cyber risk mitigation,0.88,
V9-02675,INTEROP.domestic,w-Digital Rupiah as a settlement asset for transactions in monetary operations,0.85,
V9-02676,ADOPT.experience,identify the right use cases to ensure effective adoption,0.87,
V9-02677,SYS.design,liability of Bank Indonesia to its users issued in digital format,0.88,
V9-02678,SYS.design,"issued in two types, wholesale Digital Rupiah (w-Digital Rupiah) and retail Digital Rupiah",0.9,
V9-02679,INTEROP.domestic,risk-free settlement asset in the wholesale market,0.92,
V9-02694,INTEROP.domestic,"integrated, interoperable, and interconnected with the current payment system",0.82,
V9-02698,OTHER.keep,"Increasing the inclusion, innovation, and efficiency of the financial system",0.72,
V9-02705,SYS.design,conversion of current accounts (no-money creation),0.88,
V9-02708,SYS.design,KDR acts as a facilitator and does not hold the Rupiah Digital,0.87,
V9-02709,INTEROP.domestic,redemption through the conversion of current accounts in BI-RTGS,0.9,
V9-02714,SYS.design,Validating the creation and destruction of Rupiah Digital,0.86,
V9-02724,SYS.design,"creation, issuance, redemption, and destruction of the Rupiah Digital",0.88,
V9-02725,INTEROP.domestic,conversion of current accounts in BI-RTGS into the Rupiah Digital,0.92,
V9-02731,INTEROP.domestic,omnibus account on the BI-RTGS system to complete the settlement,0.91,
V9-02736,INTEROP.domestic,replicates the practices that apply to the current wholesale payment system,0.89,
V9-02741,INTEROP.domestic,communication standard between wRD and BI-RTGS,0.93,
V9-02743,SYS.design,"participants categorized as no-node, the database management is handled by the provider node",0.85,
V9-02753,INTEROP.domestic,ISO 20022 as a messaging standard,0.8,
V9-02754,INTEROP.domestic,interoperability of existing Financial Market Infrastructures (FMIs) through connectivity to the Bank Indonesia Real Time Gross Settlement,0.95,
V9-02774,INTEROP.domestic,"atomic settlement in payment systems, particularly in Delivery Versus Payment",0.82,
V9-02785,SYS.design,implements observer nodes by utilizing the emit event feature on smart contracts,0.72,
V9-02800,INTEROP.domestic,no-money creation through conversion. This conversion process is executed by transferring the participant's current account balance,0.8,
V9-02820,INTEROP.domestic,"settlement in RTGS, the KDR node on the wRD platform receives MT202 and MT900 messages",0.92,
V9-02836,SYS.design,"queueing mechanism is implemented in a decentralized manner, where participants are responsible",0.78,
V9-02839,ACCESS.universal,"available to the entire public, including children, foreigners (including tourists), all types of businesses",0.95,
V9-02845,INTEROP.domestic,interoperates with other payment systems and digital asset networks,0.8,
V9-02846,OPS.resilience,"not depend on other payment systems for its operation, ensuring the ability to make payments in emergencies or failures",0.92,
V9-02849,SYS.design,user can link multiple wallets to their unique identifier and manage them,0.82,
V9-02852,SYS.design,support micro-payments as well as very high-value payments. Every payment in the digital shekel will be immediate and final,0.75,
V9-02858,ADOPT.experience,"Basic uses of the DS for private users will be free, and for businesses, the costs of using it are expected to be significantly lower",0.93,
V9-02859,INTEROP.domestic,"interoperable with other systems, allowing easy conversion between the DS and other means of payment",0.85,
V9-02863,SYS.design,digital shekel is a CBDC that is a liability of the Bank of Israel towards those who hold it,0.85,
V9-02864,CASH.relation,DS will join physical cash and digital money in bank's reserves...will be legal tender in Israel with a 1:1 conversion ratio,0.92,evidence_not_verbatim
V9-02865,SYS.design,"usable by the general public (retail CBDC) and financial entities (wholesale CBDC), making it a ""multipurpose CBDC""",0.83,
V9-02866,SYS.design,"sole issuer of the DS, will serve as the system manager",0.92,
